laurel avispillo,cinnamomum,elongatum
avispillo,cinnamomum,montanum
matieu,cinnamomum,sessilifolium
cinnamon,cinnamomum,verum
juniper berry,citharexylum,caudatum
spiny fiddlewood,citharexylum,spinosum
lime (tipolo),citrus,aurantifolia
limon china,citrus,hystrix
kahet,citrus,macroptera
wild orange,citrus,macroptera
citrus maxima,citrus,maxima
citrus medica,citrus,medica
calamondin,citrus,mitis
kingkang,citrus,mitis
citrus reticulata,citrus,reticulata
citrus spp.,citrus,spp.
key lime,citrus,xaurantiifolia
sour orange,citrus,xaurantium
lemon,citrus,xlimon
grapefruit,citrus,xparadisi
sweet orange,citrus,xsinensis
koee,claoxylon,carolinianum
claoxylon fallax,claoxylon,fallax
claoxylon longiracemosum,claoxylon,longiracemosum
katteknau,claoxylon,marianum
katot,claoxylon,marianum
poola,claoxylon,sandwicense
cleistanthus carolinianus,cleistanthus,carolinianus
cleistanthus insularis,cleistanthus,insularis
oha wai nui,clermontia,arborescens
kauai clermontia,clermontia,clermontioides
kohala mountain clermontia,clermontia,drepanomorpha
haha aiakamanu,clermontia,fauriei
bog clermontia,clermontia,grandiflora
oha kepau,clermontia,hawaiiensis
forest clermontia,clermontia,kakeana
waipio valley clermontia,clermontia,kohalae
oha wai nui clermontia,clermontia,leptoclada
hillside clermontia,clermontia,lindseyana
maui clermontia,clermontia,micrantha
mauna loa clermontia,clermontia,montis-loa
oahu clermontia,clermontia,oblongifolia
wailai pali clermontia,clermontia,pallida
smallflower clermontia,clermontia,parviflora
pele clermontia,clermontia,peleana
waioiani clermontia,clermontia,persicifolia
hamakua clermontia,clermontia,pyrularia
clermontia singuliflora,clermontia,singuliflora
clermontia,clermontia,spp.
haleakala clermontia,clermontia,tuberculata
swampforest clermontia,clermontia,waimeae
haggarbush,clerodendrum,aculeatum
rose glorybower,clerodendrum,bungei
natal glorybower,clerodendrum,glabrum
velvetleaf glorybower,clerodendrum,macrostegium
glorybower,clerodendrum,spp.
mountain sweetpepperbush,clethra,acuminata
teta prieta,cleyera,albopunctata
jackass breadnut,clibadium,erosum
clidemia cymosa,clidemia,cymosa
kiniyaw,clinostigma,carolinense
ochop,clinostigma,carolinense
philippine pigeonwings,clitoria,fairchildiana
cupeillo,clusia,clusioides
grundlach's attorney,clusia,gundlachii
cupey de monte,clusia,minor
scotch attorney,clusia,rosea
treadsoftly,cnidoscolus,aconitifolius
uvilla,coccoloba,costata
tietongue,coccoloba,diversifolia
pigeon-plum,coccoloba,diversifolia
whitewood,coccoloba,krugii
puckhout,coccoloba,microstachya
pale seagrape,coccoloba,pallida
grandleaf seagrape,coccoloba,pubescens
uvera,coccoloba,pyrifolia
ortegon,coccoloba,rugosa
uvero de monte,coccoloba,sintenisii
swartz's pigeonplum,coccoloba,swartzii
bahama pigeonplum,coccoloba,tenuifolia
seagrape,coccoloba,uvifera
false chiggergrape,coccoloba,venosa
florida silver palm,coccothrinax,argentata
coccothrinax barbadensis,coccothrinax,barbadensis
silk cottontree,cochlospermum,vitifolium
coconut palm,cocos,nucifera
garden croton,codiaeum,variegatum
arabian coffee,coffea,arabica
coffea liberica,coffea,liberica
robusta coffee,coffea,robusta
cojoba arborea,cojoba,arborea
abata cola,cola,acuminata
uab,colona,scabra
chuchab,colona,scabra
common snakebark,colubrina,arborescens
soldierwood,colubrina,elliptica
kauila,colubrina,oppositifolia
bladder senna,colutea,arborescens
poison ash,comocladia,dodonaea
carrasco,comocladia,glabra
bluewood,condalia,hookeri
buttonwood-mangrove,conocarpus,erectus
luquillo mountain snailwood,conostegia,rufescens
consolea moniliformis,consolea,moniliformis
consolea rubescens,consolea,rubescens
copaiba,copaifera,officinalis
forest mirrorplant,coprosma,foliosa
koi,coprosma,kauensis
oahu mirrorplant,coprosma,longifolia
alpine mirrorplant,coprosma,montana
maui mirrorplant,coprosma,ochracea
pubescent mirrorplant,coprosma,pubens
woodland mirrorplant,coprosma,rhynchocarpa
mirrorplant,coprosma,spp.
olena,coprosma,waimeae
spanish elm,cordia,alliodora
tou,cordia,aspera
anacahuita texas olive,cordia,boissieri
muneco,cordia,borinquensis
red manjack,cordia,collococca
fragrant manjack,cordia,dichotoma
smooth manjack,cordia,laevigata
cordia micronesica,cordia,micronesica
clammy cherry,cordia,obliqua
san bartolome,cordia,rickseckeri
largeleaf geigertree,cordia,sebestena
kou,cordia,subcordata
mucilage manjack,cordia,sulcata
tiplant,cordyline,fruticosa
cordyline,cordyline,spp.
roughleaf dogwood,cornus,drummondii
flowering dogwood,cornus,florida
kousa dogwood,cornus,kousa
pacific dogwood,cornus,nuttallii
nigua,cornutia,obovata
azulejo,cornutia,pyramidata
turkish hazelnut,corylus,colurna
redgum,corymbia,calophylla
corymbia citriodora,corymbia,citriodora
redflower gum,corymbia,ficifolia
red bloodwood,corymbia,gummifera
karaka nut,corynocarpus,laevigatus
european smoketree,cotinus,coggygria
smoketree,cotinus,obovatus
cannonball tree,couroupita,guianensis
brainerd's hawthorn,crataegus,brainerdii
pear hawthorn,crataegus,calpodendron
fireberry hawthorn,crataegus,chrysocarpa
cockspur hawthorn,crataegus,crus-galli
broadleaf hawthorn,crataegus,dilatata
fanleaf hawthorn,crataegus,flabellata
downy hawthorn,crataegus,mollis
oneseed hawthorn,crataegus,monogyna
scarlet hawthorn,crataegus,pedicellata
hawthorn spp.,crataegus,spp.
fleshy hawthorn,crataegus,succulenta
dwarf hawthorn,crataegus,uniflora
sacred garlic pear,crateva,religiosa
houka,crescentia,alata
calabash,crescentia,alata
common calabash tree,crescentia,cujete
higuerito,crescentia,linearifolia
higuero de sierra,crescentia,portoricensis
critonia portoricensis,critonia,portoricensis
maidenberry,crossopetalum,rhacoma
longbeak rattlebox,crotalaria,longirostrata
wild marrow,croton,astroites
croton flavens,croton,flavens
sabinon,croton,poecilanthus
holio,cryptocarya,mannii
cryptocarya oreophila,cryptocarya,oreophila
japanese cedar,cryptomeria,japonica
storehousebush,cudrania,tricuspidata
chinese fir,cunninghamia,lanceolata
wild ackee,cupania,americana
guara blanca,cupania,triquetra
carrotwood,cupaniopsis,anacardioides
leyland cypress,cupressocyparis,leylandii
arizona cypress,cupressus,arizonica
baker,cupressus,bakeri
modoc cypress,cupressus,bakeri
tecate cypress,cupressus,forbesii
cedar-of-goa,cupressus,lusitanica
macnab's cypress,cupressus,macnabiana
monterey cypress,cupressus,macrocarpa
sargent's cypress,cupressus,sargentii
italian cypress,cupressus,sempervirens
haleakala cyanea,cyanea,aculeatiflora
palmtree cyanea,cyanea,arborea
kauai cyanea,cyanea,fissa
degeners cyanea,cyanea,floribunda
kilauea mauna cyanea,cyanea,giffardii
wetforest cyanea,cyanea,hamatiflora
oahu cyanea,cyanea,hardyi
prickly cyanea,cyanea,horrida
limahuli valley cyanea,cyanea,kuhihewa
kunths cyanea,cyanea,kunthiana
giant kokee cyanea,cyanea,leptostegia
purple cyanea,cyanea,macrostegia
marks cyanea,cyanea,marksii
hairy cyanea,cyanea,pilosa
pohaku cyanea,cyanea,pohaku
molokai cyanea,cyanea,procera
manyfruit cyanea,cyanea,pycnocarpa
oakleaf cyanea,cyanea,quercifolia
plateau delissea,cyanea,rivularis
pua kala,cyanea,solenocalyx
cyanea,cyanea,spp.
kaiholena cyanea,cyanea,stictophylla
mt. kaala cyanea,cyanea,superba
aku aku,cyanea,tritomantha
parrotfeather treefern,cyathea,andina
west indian treefern,cyathea,arborea
coopers cyathea,cyathea,cooperi
jamaican treefern,cyathea,furfuracea
small treefern,cyathea,parvula
helecho gigante,cyathea,tenera
cybianthus sintenisii,cybianthus,sintenisii
